[13.7]  ¡Let's go!
[17.2]  Good morning, good morning, gente, buen día, buen día.
[20.7]  Estamos a ocho de la matina, así que arrancamos el verano.
[25.2]  Ahora terminamos las clases semestre.
[27.2]  Así que tenemos dos, tres meses de vacaciones acá en China.
[30.2]  Por no no es una actualización en cómo viene todo.
[32.7]  Y bueno, la rutina que estamos tirando ahora en el verano,
[35.7]  porque cómo ven estamos todavía en China.
[38.2]  Gente, vamos a pasar el verano acá.
[40.2]  Estamos en pleno verano a 138 grados.
[42.7]  Hoy creo que es 138 grados también.
